Module,Group,Element,Keyword,Type,InPadChest,Description,Other notes,
,,,PhotometricInterpretation,,Included,,,
,,,Rows,,Included,,,
,,,Columns,,Included,,,
DX|DX Detector,0028,0030,PixelSpacing,1C Conditionally Required ,,,,
DX|DX Detector,0018,1164,ImagerPixelSpacing,1(Requirement),,,Not in VinDR list.,
,,,PixelAspectRatio,,Included,,,
,,,BitsAllocated,,,,,
,,,BitsStored,,Included,,,
,,,HighBit,,,,,
,,,PixelRepresentation,,Included,,,
,,,SmallestImagePixelValue,,,,,
,,,LargestImagePixelValue,,,,,
,,,WindowCenter,,Included,,,
,,,WindowWidth,,Included,,,
,,,RescaleIntercept,,,,,
,,,RescaleSlope,,,,,
,,,PixelData,,,,,
,,,LossyImageCompression,,,,,
,,,LossyImageCompressionRatio,,,,,Was not included in our original set of dicom elements.
,,,LossyImageCompressionMethod,,,,,
,,,SamplesPerPixel,,,,,
,,,NumberOfFrames,,,,,Was not included in our original set of dicom elements.
,,,Modality,,Included,,Not in VinDR list.,
,,,PresentationLUTShape,,,,Not in VinDR list.,
,,,PlanarConfiguration,,,,Not in VinDR list.,
